tconst	averageRating	numVotes
tt0000340	4.9	289
tt0000341	4.9	344
tt0000346	4.8	212
tt0000347	4.5	109
tt0000349	5.5	122
tt0000350	5.8	695
tt0000352	5.7	44
tt0000353	5.2	342
tt0000355	6.2	668
tt0000357	5.8	424
tt0000358	6.2	672
tt0000359	7.1	2800
tt0000361	8.1	25
tt0000363	6.3	143
tt0000364	5.5	156
tt0000368	6.2	22
tt0000370	5.6	460
tt0000373	6.4	76
tt0000376	7.0	18
tt0000377	6.1	113
tt0000379	5.2	10
tt0000380	7.2	27
tt0000381	4.2	24
tt0000384	5.8	253
tt0000387	5.1	345
tt0000388	5.1	123
tt0000399	6.1	724
tt0000400	6.4	16
tt0000402	7.0	10
tt0000406	5.4	44
tt0000407	3.9	35
tt0000409	5.1	213
tt0000410	6.7	968
tt0000412	4.1	25
tt0000413	5.5	422
tt0000414	5.4	726
tt0000416	5.4	148
tt0000417	8.2	47513
tt0000420	6.3	2551
tt0000422	6.0	9
tt0000423	5.5	224
tt0000425	5.4	25
tt0000426	4.8	21
tt0000430	5.9	669
tt0000432	5.6	203
tt0000436	6.2	492
tt0000437	5.1	247
tt0000439	7.3	18620
tt0000440	5.4	212
tt0000441	7.0	10
tt0000442	4.8	77
tt0000443	6.2	11
tt0000446	6.3	25
tt0000447	6.4	2338
tt0000451	6.5	856
tt0000452	4.6	106
tt0000455	6.8	1780
tt0000456	4.2	61
tt0000459	4.6	72
tt0000460	6.2	17
tt0000464	4.7	422
tt0000465	7.3	1485
tt0000469	5.8	992
tt0000471	5.1	472
tt0000472	6.6	23
tt0000479	5.3	375
tt0000480	5.0	189
tt0000487	7.0	496
tt0000488	6.9	782
tt0000491	4.0	62
tt0000492	5.0	118
tt0000495	6.0	109
tt0000496	6.0	63
tt0000497	5.2	77
tt0000498	6.6	1157
tt0000499	7.6	3492
tt0000501	4.8	50
tt0000502	4.4	15
tt0000505	6.8	24
tt0000506	5.0	9
tt0000507	3.9	56
tt0000509	6.0	43
tt0000511	6.7	42
tt0000512	4.5	66
tt0000515	4.8	85
tt0000516	6.6	971
tt0000519	5.7	356
tt0000520	6.3	54
tt0000521	5.5	288
tt0000524	5.8	731
tt0000525	5.5	49
tt0000526	4.3	61
tt0000528	6.5	17
tt0000533	7.2	39
tt0000534	6.6	1113
tt0000535	5.0	57
tt0000537	4.4	89
tt0000543	5.2	17
tt0000546	6.7	1827
tt0000548	5.5	8
tt0000550	4.4	12
tt0000552	5.9	56
tt0000553	6.5	391
tt0000554	6.2	1245
tt0000555	5.1	16
tt0000557	4.7	132
tt0000561	5.3	49
tt0000565	6.3	576
tt0000567	6.7	1146
tt0000570	4.1	52
tt0000571	6.8	67
tt0000574	6.1	745
tt0000575	5.8	482
tt0000576	6.0	224
tt0000578	7.6	27
tt0000581	4.6	12
tt0000582	4.9	678
tt0000583	5.3	42
tt0000584	5.1	76
tt0000586	6.2	22
tt0000591	5.0	17
tt0000594	6.0	11
tt0000595	5.9	9
tt0000596	5.4	16
tt0000597	5.0	67
tt0000598	5.2	36
tt0000599	4.7	13
tt0000601	5.0	12
tt0000602	4.6	213
tt0000608	6.3	12
tt0000609	4.4	19
tt0000610	5.1	21
tt0000613	4.3	13
tt0000614	6.5	1013
tt0000615	4.5	24
tt0000617	4.8	32
tt0000618	8.7	14
tt0000621	6.5	574
tt0000624	7.0	15
tt0000627	6.1	62
tt0000628	5.7	800
tt0000629	5.7	86
tt0000630	3.9	25
tt0000632	5.1	51
tt0000634	4.7	26
tt0000637	5.5	662
tt0000638	5.3	84
tt0000639	5.3	91
tt0000640	4.4	136
tt0000641	4.8	161
tt0000642	5.5	67
tt0000644	5.5	63
tt0000645	5.1	166
tt0000648	4.6	156
tt0000650	7.0	21
tt0000651	5.1	61
tt0000653	4.6	204
tt0000654	5.2	103
tt0000658	6.5	222
tt0000659	5.2	78
tt0000660	5.8	63
tt0000661	6.7	18
tt0000662	4.7	64
tt0000663	5.6	62
tt0000665	5.8	64
tt0000666	5.8	32
tt0000668	7.1	50
tt0000669	4.7	153
tt0000671	6.1	16
tt0000672	6.2	45
tt0000673	6.0	9
tt0000674	4.7	45
tt0000675	4.7	20
tt0000676	4.4	18
tt0000677	6.5	21
tt0000679	5.3	66
tt0000680	5.5	47
tt0000681	5.9	41
tt0000682	6.9	2419
tt0000683	5.5	80
tt0000684	5.2	119
tt0000685	5.9	48
